,0,Handle,ID,CreatedAt,Location
3642,Die Argumentation ist absurd. Belastungsmoratorium für die Wirtschaft in der #Coronapandemie ist doch kein Argument… https://t.co/npnF7LecZ3,Prinze484,1356411441990004738,2021-02-02 01:17:43,
3643,RT @PhilippOtto: Heute ist ein guter Tag um für die Berliner #Kältehilfe zu spenden. Leben retten per sms -&gt; „kalt“ an 81190 schicken. Von…,Prinze484,1355242388508332036,2021-01-29 19:52:19,
3644,Endlich ist ein guter Vorschlag aus dem ⁦@BMJV_Bund⁩ da: #Insolvenzabsicherung für #Pauschalreisen ist mit dem neu… https://t.co/c7Eri3rqu5,Prinze484,1355006374313390083,2021-01-29 04:14:29,
3645,Richtschnur für die nächste #Bundesregierung: mehr #Sammelklage wagen! @vzbv legt Konzept für Umsetzung der EU Verb… https://t.co/uzVhIPf9OF,Prinze484,1354802164225486848,2021-01-28 14:43:01,
3646,"RT @Klaus_Mueller: Was lange währt, wird endlich gut ... Gut, dass @KastropC und @Thomas_Bareiss jetzt zu einer europarechtskonformen und v…",Prinze484,1354545986509692939,2021-01-27 21:45:04,
3647,"RT @13_BGB: Der @vzbv begrüßt den #Reisesicherungsfonds für #Pauschalreise|n. @BMJV_Bund
hat einen ausgewogenen Gesetzentwurf vorgelegt. #I…",Prinze484,1354527732542169093,2021-01-27 20:32:32,
3648,"RT @vzbv: Der @vzbv hat einen Vorschlag veröffentlicht, wie Deutschland die neue EU-Verbandsklage verbraucherfreundlich umsetzen kann: http…",Prinze484,1354439786098995200,2021-01-27 14:43:03,
3649,".@vzbv kann nicht nur gutes #Lobbying und #Verbandsklagen führen, sondern auch gut verhandeln ;): @vzbv und… https://t.co/6NS02DfwhS",Prinze484,1354077394399850496,2021-01-26 14:43:03,
3650,"RT @LinaEhrig: Entwurf zum #Urheberrecht verabschiedet. Trauerspiel für die Nutzerrechte. Jetzt ist der Bundestag gefragt, hier nachzubesse…",Prinze484,1353821207087489024,2021-01-25 21:45:03,
3651,"Sehr gute Initiative aus NRW: Bundesratsinitiative für faire Verbraucherverträge von @HeinenUlla: 
✅Vertragslaufzei… https://t.co/fYE47ShRu3",Prinze484,1353715004898496520,2021-01-25 14:43:02,
3652,"Bin gespannt, wie diese Debatte ausgeht: EU-Abgeordnete fordern Aus für ""spionierende Werbung"" #DSA https://t.co/Wwavkmez09",Prinze484,1352272823813890055,2021-01-21 15:12:19,
3653,"Verbrauchervertrauen in #Europa sinkt. Weckruf für die Politik, vor allem die #EU #Verbraucheragenda voranzutreiben… https://t.co/6kd9gMC84C",Prinze484,1332063301497466880,2020-11-26 20:46:54,
3654,Guter Vorstoß der ⁦@fdpbt⁩ verpflichtende Synopsen zu Gesetzentwürfen einzuführen. Ein kleiner wichtiger Schritt zu… https://t.co/hHOtqBDn2m,Prinze484,1330354824609738758,2020-11-22 03:38:01,
3655,"RT @kattascha: Warum diese reflexhafte Verteidigung? Reminder: Die Abmahnung vom @vzbv hat das Unternehmen u.a. kassiert, weil man sich nic…",Prinze484,1316823455371755524,2020-10-15 19:29:11,
3656,"RT @Klaus_Mueller: Liebe @DoroBaer, niemand will ""jede digitale Innovation gleich von Anfang an mit der Datenschutzkeule zerschlagen"".
Eine…",Prinze484,1303106645652918274,2020-09-07 23:03:29,
3657,"RT @BVG_Kampagne: Wie immer, schiebt‘s einfach auf uns. https://t.co/Ei3274EFO8",Prinze484,1287387637817409546,2020-07-26 14:01:46,
3658,"RT @Klaus_Mueller: Gravierende Mängel beim #Datenschutz, #AGB nur auf Englisch, kein Impressum: Diese Punkte beanstandet der @vzbv in seine…",Prinze484,1282861308401115137,2020-07-14 02:15:44,
3659,RT @vzbv: Der @vzbv sucht eine/n Referent/in für Digitale Kommunikation mit Expertise im #Projektmanagement. Jetzt bewerben! #Jobs #Jobtipp…,Prinze484,1282827312996786177,2020-07-14 00:00:39,
3660,"""No one is safe until everyone is safe."" - @PascaleAllotey @UNU_IIGH @genderhealthhub 

Happening now 👇🏽 https://t.co/mESSz0gk4r",Vidmish22,1357386255714115587,2021-02-04 17:51:17,
3661,RT @T20Solutions: Live Now! T20 Italy Inception Conference #T20Inception https://t.co/x7ePHBDUao,Vidmish22,1357069269822033923,2021-02-03 20:51:41,
3662,"RT @UNU_IIGH: Our colleague, @Vidmish22's discussion paper on ""#Gender and #Digitisation in Asia: Future Policy Pathways"" is now live!

✍️…",Vidmish22,1356411441990004738,2021-02-02 01:17:43,
3663,@sonakshi_93 Thanks :),Vidmish22,1355242388508332036,2021-01-29 19:52:19,
3664,"Finally, the paper will discuss education models in the 4IR. Feedback very welcome!",Vidmish22,1355006374313390083,2021-01-29 04:14:29,
3665,"Second, the gendered implications of how automation is changing the world of work. Third, the future of care work i… https://t.co/V2Ze7mZNO9",Vidmish22,1354802164225486848,2021-01-28 14:43:01,
3666,"The paper examines four major issues. First, access and usage – that is, who is using digital technology, who is bu… https://t.co/QpJ6r6fVxA",Vidmish22,1354545986509692939,2021-01-27 21:45:04,
3667,"Last year, I got a chance to work with @boell_stiftung @hbs_HongKong. Our discussion paper is out now. Edited by th… https://t.co/tb8IB2zUzH",Vidmish22,1354527732542169093,2021-01-27 20:32:32,
3668,"RT @g20org: The #G20 stands with the @UN and @AntonioGuterres to promote women’s rights. 

Achieving gender equality and fostering women’s…",Vidmish22,1354439786098995200,2021-01-27 14:43:03,
3669,"RT @genderhealthhub: Rather talk to us than type? Tell us your thoughts on what should be in the #GenderCovid19 research agenda. 

Register…",Vidmish22,1354077394399850496,2021-01-26 14:43:03,
3670,"RT @bbcmediaaction: Join our new webinar series @genderhealthhub @UCT_SPHFM and @UNuniversity tomorrow!

We'll explore digital access and u…",Vidmish22,1353821207087489024,2021-01-25 21:45:03,
3671,"Yay! Join the launch of the @genderhealthhub #DigitalHealth webinar series tomorrow. 

More information about our a… https://t.co/72uH91lSRT",Vidmish22,1353715004898496520,2021-01-25 14:43:02,
3672,"RT @nixxin: Mobile Internet has been shut in parts of Delhi+reduced to 2G for rest,since mid-day yesterday. I'm tweeting via WiFi,which is…",Vidmish22,1352272823813890055,2021-01-21 15:12:19,
3673,"RT @genderhealthhub: 📢 Join @alex_tyers, @Amnesty_LeFevre, @dmohan79, Kerry Scott, Sara Chamberlain &amp; our very own @cabreulopes in the Hub'…",Vidmish22,1332063301497466880,2020-11-26 20:46:54,
